transaction_id,sender_id,receiver_id,amount,currency,timestamp,status
tx3001,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,8b2f3c21-2d3e-5f4a-9b8c-2d3e4f5a6b7c,250.00,USD,2025-05-01T12:00:00Z,completed
tx3002,9c3d4e32-3e4f-6a5b-8c9d-3e4f5a6b7c8d,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,1200.50,EUR,2025-05-02T09:30:00Z,pending
tx3003,8b2f3c21-2d3e-5f4a-9b8c-2d3e4f5a6b7c,1d4e5f43-4f5a-7b6c-9d8e-4f5a6b7c8d9e,75.25,USD,2025-05-02T14:15:00Z,completed
tx3004,1d4e5f43-4f5a-7b6c-9d8e-4f5a6b7c8d9e,9c3d4e32-3e4f-6a5b-8c9d-3e4f5a6b7c8d,10500.00,GBP,2025-05-03T16:45:00Z,failed
tx3005,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,9c3d4e32-3e4f-6a5b-8c9d-3e4f5a6b7c8d,5000.00,USD,2025-05-03T18:20:00Z,completed
tx3006,8b2f3c21-2d3e-5f4a-9b8c-2d3e4f5a6b7c,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,9999.99,EUR,2025-05-04T11:05:00Z,completed
tx3007,9c3d4e32-3e4f-6a5b-8c9d-3e4f5a6b7c8d,8b2f3c21-2d3e-5f4a-9b8c-2d3e4f5a6b7c,15000.00,USD,2025-05-04T13:00:00Z,pending
tx3008,1d4e5f43-4f5a-7b6c-9d8e-4f5a6b7c8d9e,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,300.00,GBP,2025-05-05T08:40:00Z,completed
tx3009,7a1e2b10-1c2d-4e3f-8a9b-1c2d3e4f5a6b,1d4e5f43-4f5a-7b6c-9d8e-4f5a6b7c8d9e,50.00,USD,2025-05-05T10:10:00Z,completed
tx3010,8b2f3c21-2d3e-5f4a-9b8c-2d3e4f5a6b7c,9c3d4e32-3e4f-6a5b-8c9d-3e4f5a6b7c8d,200.00,EUR,2025-05-05T12:00:00Z,failed
tx3011,2e5f6a54-5a6b-8c7d-1e9f-5a6b7c8d9e1f,3f6a7b65-6b7c-9d8e-2f1a-6b7c8d9e1f2a,800.00,USD,2025-05-06T09:00:00Z,completed
